15-22K·14薪,"AI算法工程师（图像识别）
南京
15-22K·14薪
在校/应届硕士
沈女士HR",南京
11-22K·14薪,"硬件安全研究员
苏州
11-22K·14薪
在校/应届本科
何先生安全技术研究院执行院长",苏州
15-22K,"Linux软件开发工程师
北京·海淀区·西北旺
15-22K
在校/应届本科
张先生项目组理，HR",北京·海淀区·西北旺
17-23K·14薪,"智能制造工程师
北京·昌平区·回龙观
17-23K·14薪
在校/应届硕士
石先生校园招聘经理",北京·昌平区·回龙观
11-22K,"校招-音视频测评工程师
上海·杨浦区·五角场
11-22K
在校/应届本科
李先生HRBP",上海·杨浦区·五角场
15-25K,"java开发工程师
杭州·余杭区·五常
15-25K
在校/应届本科
姜先生技术开发",杭州·余杭区·五常
500-1000元/天,"硬件技术工程师实习
上海·浦东新区·金桥
500-1000元/天
2天/周2个月本科
方女士HR Manager",上海·浦东新区·金桥
30-60K·13薪,"Java服务端技术专家(实习)
北京·朝阳区·团结湖
30-60K·13薪
1-3年本科
尹先生招聘者",北京·朝阳区·团结湖
20-25K,"校招测试开发工程师
北京·海淀区·中关村
20-25K
在校/应届本科
赵女士测试开发工程师",北京·海淀区·中关村
13-25K,"应届校招--JAVA开发/安卓/IOS开发/前端
上海·浦东新区·张江
13-25K
在校/应届本科
葛女士招聘者",上海·浦东新区·张江
15-25K·16薪,"研发工程师JAVA
杭州·余杭区·仓前
15-25K·16薪
在校/应届本科
马先生技术专家",杭州·余杭区·仓前
16-30K·15薪,"机器人SLAM算法工程师
北京·朝阳区·酒仙桥
16-30K·15薪
在校/应届硕士
李女士HRBP",北京·朝阳区·酒仙桥
20-30K,"前端开发工程师
北京·海淀区·西北旺
20-30K
在校/应届本科
李女士HR",北京·海淀区·西北旺
15-25K·15薪,"NLP算法工程师
广州·天河区·岑村
15-25K·15薪
在校/应届硕士
翁先生研发高级总监",广州·天河区·岑村
18-35K,"软件开发工程师-留学生校招
上海·浦东新区·金桥
18-35K
在校/应届本科
蓝女士HR",上海·浦东新区·金桥
18-25K·15薪,"后端开发工程师-基础架构
成都·武侯区·新会展中心
18-25K·15薪
在校/应届本科
杨女士招聘者",成都·武侯区·新会展中心
15-25K·16薪,"前端开发工程师
南京·建邺区·奥体
15-25K·16薪
在校/应届本科
丁先生高级前端工程师",南京·建邺区·奥体
25-35K·14薪,"算法工程师
北京·朝阳区·奥林匹克公园
25-35K·14薪
在校/应届硕士
王先生算法工程师",北京·朝阳区·奥林匹克公园
18-25K·16薪,"3D成像算法工程师
广州·黄埔区·科学城
18-25K·16薪
在校/应届硕士
李先生算法工程师",广州·黄埔区·科学城
25-35K·14薪,"算法工程师
北京·朝阳区·奥林匹克公园
25-35K·14薪
在校/应届硕士
王先生算法工程师",北京·朝阳区·奥林匹克公园
20-25K,"校招测试开发工程师
北京·海淀区·中关村
20-25K
在校/应届本科
赵女士测试开发工程师",北京·海淀区·中关村
18-25K·16薪,"3D成像算法工程师
广州·黄埔区·科学城
18-25K·16薪
在校/应届硕士
李先生算法工程师",广州·黄埔区·科学城
20-25K·14薪,"HTML5(实习)
北京
20-25K·14薪
3-5年本科
张先生前端工程师",北京
18-23K·13薪,"阿里云智能2022年应届生招聘
杭州·余杭区·仓前
18-23K·13薪
在校/应届硕士
傅先生技术TL",杭州·余杭区·仓前
15-30K·14薪,"游戏AI算法工程师
广州·黄埔区·中心城
15-30K·14薪
在校/应届学历不限
陈女士研发主管",广州·黄埔区·中心城
500-1000元/天,"前端开发实习生（抖音）可转正
上海
500-1000元/天
3天/周3个月本科
胡女士前端工程师",上海
13-26K·14薪,"物联网安全研究员
北京·海淀区·清河
13-26K·14薪
在校/应届本科
何先生安全技术研究院执行院长",北京·海淀区·清河
15-25K,"通信算法工程师
北京·海淀区·五道口
15-25K
在校/应届学历不限
张先生研究室主任",北京·海淀区·五道口
11-22K·17薪,"嵌入式软件开发工程师
北京·海淀区·西北旺
11-22K·17薪
在校/应届本科
周女士HRBP",北京·海淀区·西北旺
20-40K·16薪,"研发工程师-开发/算法 (21校招)
广州·南沙区·横沥
20-40K·16薪
在校/应届本科
郑女士Recruiter",广州·南沙区·横沥
20-27K·15薪,"芯片应用工程师 (MJ001188)
北京·海淀区·北太平庄
20-27K·15薪
在校/应届硕士
张女士HR",北京·海淀区·北太平庄
12-24K·14薪,"软件开发工程师
北京·昌平区·回龙观
12-24K·14薪
在校/应届本科
石先生校园招聘经理",北京·昌平区·回龙观
18-22K,"蚂蚁金服Java研发工程师—2022届实习岗
杭州·西湖区·西湖
18-22K
在校/应届本科
唐先生技术专家",杭州·西湖区·西湖
12-24K,"JAVA/安卓工程师
成都·武侯区·火车南站
12-24K
在校/应届本科
陈先生招聘员",成都·武侯区·火车南站
20-40K·15薪,"嵌入式软件开发工程师
南京·雨花台区·南京南站
20-40K·15薪
在校/应届本科
肖先生软件工程师",南京·雨花台区·南京南站
20-40K,"阿里安全黑灰产归零实验室春季校园招聘
北京·朝阳区·望京
20-40K
在校/应届本科
刘先生招聘者",北京·朝阳区·望京
15-30K·15薪,"机器人导航算法工程师
北京·朝阳区·酒仙桥
15-30K·15薪
在校/应届硕士
李女士HRBP",北京·朝阳区·酒仙桥
